Image Name,Prompt,User Interest,Stay Duration,Platform,Model Name
TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about The image shows a close-up of someone's hand holding what appears to be a slice of apple. A small dog, probably a chihuahua or a similar breed, is in the background with its face peeking out from below the slice of apple. Its expression seems attentive and focused on the apple slice, possibly indicating interest in it as a treat. The dog has a notable patchy fur pattern with a mixture of white, brown, and grey. It also wears a purple collar with blue details. The setting looks like a domestic interior, possibly a living room, with the flooring being a carpet and part of a piece of furniture visible in the background.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,30,TikTok,GPT4
TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about This image shows a man standing behind a table with two pieces of cheese on it. The man has medium-length, wavy gray hair and is wearing a light-colored sweater. He appears to be middle-aged or older and is looking directly at the camera with a somewhat serious or neutral expression. There's a light-colored wall in the background with no discernible decoration. The cheeses on the table look like two blocks, one of which is standing upright and the other lying flat on the wooden surface of the table.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,GPT4
C:\Users\madis\Desktop\LLM_pipeline\TikTok_1\TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about This image shows a man wearing a white shirt and a blue apron with white stripes on the straps. He appears to be standing in a kitchen or a room with industrial-type equipment, possibly a professional kitchen, given the stainless steel surfaces in the background. His expression suggests he's in the middle of a conversation or reaction, and he has tattoos visible on his arms. The image is somewhat blurred, indicating motion or a snapshot taken in the middle of an activity. There is a word ""STEP,"" likely a part of a larger text or instruction, overlaying the apron in white capital letters.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,GPT4
C:\Users\madis\Desktop\LLM_pipeline\TikTok_1\TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about This image appears to be a screenshot from the video game Minecraft. At the top of the image, there's a caption that reads, ""I keep forgetting I have mods installed in my game."" In the game's pixelated graphics, we see an interior scene which features wooden walls and a floor, and a door that is half-open, leading outside to a landscape with trees and terrain that drops off sharply into what looks like a canyon.

On the wall to the left of the door is what appears to be a framed picture — a common decorative element in Minecraft. However, the picture seems unusual, possibly altered by a game modification (mod). In the bottom section of the image, the player's inventory is visible, indicating that the player is carrying various items and has a health and armor status bar, which is part of the game's interface.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,30,TikTok,GPT4
TikTok_1\TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about The image shows a person with headphones playing a video game with pixelated graphics resembling Minecraft. The person appears to be focused on the game, which seems to involve some green blocks or elements, typical of the Minecraft environment. The player's avatar is holding what looks like a tool, possibly a pickaxe, suggesting they might be mining or engaging in another in-game activity. The image is overlaid with some graphical glitches or artifacts, slightly obscuring the view.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,GPT4
TikTok_1\TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about A cat peeking over a surface with the text ""Excuse me, miss!"". Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,30,TikTok,GPT4
4-04-28_2\TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about Nighttime traffic scene captured by a dashcam, with a timestamp and location watermark indicating it was taken in Muskegon, Michigan.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,GPT4
4-04-28_2\TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about Close-up selfie of an elderly person wearing glasses with text overlay: ""i told my followers to ask me anything."". Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,GPT4
4-04-28_21-06-43\TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about Woman reacting to a large spider illusion.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,3,TikTok,GPT4
4-04-28_21-06-55\TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about Blurry photo of various candles on a shelf with a white ceramic object in the foreground.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,GPT4
4-04-28_21-09-50\TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about Person affectionately kissing a grumpy-looking cat.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,3,TikTok,GPT4
4-04-28_21-09-58\TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about A Tetris world championship event, featuring a young competitor against a seasoned champion, with an engaged audience watching.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,0,TikTok,GPT4
4-04-28_21-12-00\TikTok1.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about A cat entering a small wooden door while another cat watches.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,3,TikTok,GPT4
4-04-28_21-12-00\TikTok2.jpeg,"I am a Pet lover, and I am scrolling on TikTok to find interest videos, and this video is about The image shows a person watching a TikTok video on a screen with a ""Would You Rather"" question, which reads ""save an unknown child."" The video frame includes text, graphics, and part of a blue background suggesting other content below.. Please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word.",Pet,3,TikTok,GPT4
C:\Users\madis\Desktop\LLM_pipeline\TikTok2024-04-28_21-15-50\TikTok1.jpeg,"I am scrolling on TikTok, this is a picture of the content.Do you find this content interesting and want to stay? Please include yes or no in your answer, just respond in one word.",None,4,TikTok,gemini
C:\Users\madis\Desktop\LLM_pipeline\TikTok2024-04-28_21-15-50\TikTok2.jpeg,"I am scrolling on TikTok, this is a picture of the content.Do you find this content interesting and want to stay? Please include yes or no in your answer, just respond in one word.",None,0,TikTok,gemini
C:\Users\madis\Desktop\LLM_pipeline\TikTok2024-04-28_21-15-50\TikTok3.jpeg,"I am scrolling on TikTok, this is a picture of the content.Do you find this content interesting and want to stay? Please include yes or no in your answer, just respond in one word.",None,0,TikTok,gemini
