Image Name,Prompt,User Interest,Stay Duration,Platform,Model Name
-29_13-53-22\TikTok55.jpeg14:07:10,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok56.jpeg14:07:15,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok57.jpeg14:07:19,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok58.jpeg14:07:24,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok59.jpeg14:07:58,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok60.jpeg14:08:03,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok61.jpeg14:08:04,n,Pet,0,TikTok,gemini
-29_13-53-22\TikTok62.jpeg14:08:09,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok63.jpeg14:08:14,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok64.jpeg14:08:18,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok65.jpeg14:08:23,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok66.jpeg14:08:27,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok67.jpeg14:08:32,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok68.jpeg14:09:06,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok69.jpeg14:09:14,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok70.jpeg14:09:19,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok71.jpeg14:09:23,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok72.jpeg14:09:31,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok73.jpeg14:09:36,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok74.jpeg14:10:10,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok75.jpeg14:10:15,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok76.jpeg14:10:21,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok77.jpeg14:10:56,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok78.jpeg14:11:31,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok79.jpeg14:11:35,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok80.jpeg14:12:10,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok81.jpeg14:12:14,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok82.jpeg14:12:49,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok83.jpeg14:12:54,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok84.jpeg14:12:58,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok85.jpeg14:13:03,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok86.jpeg14:13:07,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok87.jpeg14:13:12,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok88.jpeg14:13:47,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok89.jpeg14:14:22,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok90.jpeg14:14:28,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok91.jpeg14:14:32,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok92.jpeg14:15:07,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok93.jpeg14:15:11,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok94.jpeg14:15:16,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok95.jpeg14:15:20,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok96.jpeg14:15:26,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok97.jpeg14:16:02,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,30,TikTok,gemini
-29_13-53-22\TikTok98.jpeg14:16:07,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok99.jpeg14:16:14,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
-29_13-53-22\TikTok100.jpeg14:16:19,"I am a Pet lover, and I am scrolling on TikTok to find Pet videos, based on this screenshot, please help me decide whether to stay on the video or not. Please include yes or no in your answer, just respond in one word. ",Pet,0,TikTok,gemini
